template,zone,element,attr,control_name
2,3,8,visible,MOTION32_SCREEN_MIXER_CHANNEL_METER_RIGHT_VISIBLE[2]
2,3,8,color,MOTION32_SCREEN_MIXER_CHANNEL_METER_RIGHT_BACKGROUND[2]
2,4,0,color,MOTION32_SCREEN_MIXER_CHANNEL_BACKGROUND[3]
2,4,1,text,MOTION32_SCREEN_MIXER_CHANNEL_CH_NUMBER[3]
2,4,1,visible,MOTION32_SCREEN_MIXER_CHANNEL_CH_NUMBER_VISIBLE[3]
2,4,2,value,MOTION32_SCREEN_MIXER_CHANNEL_FADER[3]
2,4,2,visible,MOTION32_SCREEN_MIXER_CHANNEL_FADER_VISIBLE[3]
2,4,3,value,MOTION32_SCREEN_MIXER_CHANNEL_BUT_MUTE[3]
2,4,3,visible,MOTION32_SCREEN_MIXER_CHANNEL_BUT_MUTE_VISIBLE[3]
2,4,4,value,MOTION32_SCREEN_MIXER_CHANNEL_BUT_SOLO[3]
2,4,4,visible,MOTION32_SCREEN_MIXER_CHANNEL_BUT_SOLO_VISIBLE[3]
2,4,5,color,MOTION32_SCREEN_MIXER_CHANNEL_LABEL_BACKGROUND[3]
2,4,6,text,MOTION32_SCREEN_MIXER_CHANNEL_LABEL[3]
2,4,7,value,MOTION32_SCREEN_MIXER_CHANNEL_METER_LEFT[3]
2,4,7,visible,MOTION32_SCREEN_MIXER_CHANNEL_METER_LEFT_VISIBLE[3]
2,4,7,color,MOTION32_SCREEN_MIXER_CHANNEL_METER_LEFT_BACKGROUND[3]
2,4,8,value,MOTION32_SCREEN_MIXER_CHANNEL_METER_RIGHT[3]
2,4,8,visible,MOTION32_SCREEN_MIXER_CHANNEL_METER_RIGHT_VISIBLE[3]
2,4,8,color,MOTION32_SCREEN_MIXER_CHANNEL_METER_RIGHT_BACKGROUND[3]
2,5,0,color,MOTION32_SCREEN_MIXER_CHANNEL_BACKGROUND[4]
2,5,1,text,MOTION32_SCREEN_MIXER_CHANNEL_CH_NUMBER[4]
2,5,1,visible,MOTION32_SCREEN_MIXER_CHANNEL_CH_NUMBER_VISIBLE[4]
2,5,2,value,MOTION32_SCREEN_MIXER_CHANNEL_FADER[4]
2,5,2,visible,MOTION32_SCREEN_MIXER_CHANNEL_FADER_VISIBLE[4]
2,5,3,value,MOTION32_SCREEN_MIXER_CHANNEL_BUT_MUTE[4]
2,5,3,visible,MOTION32_SCREEN_MIXER_CHANNEL_BUT_MUTE_VISIBLE[4]
2,5,4,value,MOTION32_SCREEN_MIXER_CHANNEL_BUT_SOLO[4]
2,5,4,visible,MOTION32_SCREEN_MIXER_CHANNEL_BUT_SOLO_VISIBLE[4]
2,5,5,color,MOTION32_SCREEN_MIXER_CHANNEL_LABEL_BACKGROUND[4]
2,5,6,text,MOTION32_SCREEN_MIXER_CHANNEL_LABEL[4]
2,5,7,value,MOTION32_SCREEN_MIXER_CHANNEL_METER_LEFT[4]
2,5,7,visible,MOTION32_SCREEN_MIXER_CHANNEL_METER_LEFT_VISIBLE[4]
2,5,7,color,MOTION32_SCREEN_MIXER_CHANNEL_METER_LEFT_BACKGROUND[4]
2,5,8,value,MOTION32_SCREEN_MIXER_CHANNEL_METER_RIGHT[4]
2,5,8,visible,MOTION32_SCREEN_MIXER_CHANNEL_METER_RIGHT_VISIBLE[4]
2,5,8,color,MOTION32_SCREEN_MIXER_CHANNEL_METER_RIGHT_BACKGROUND[4]
2,6,0,color,MOTION32_SCREEN_MIXER_CHANNEL_BACKGROUND[5]
2,6,1,text,MOTION32_SCREEN_MIXER_CHANNEL_CH_NUMBER[5]
2,6,1,visible,MOTION32_SCREEN_MIXER_CHANNEL_CH_NUMBER_VISIBLE[5]
2,6,2,value,MOTION32_SCREEN_MIXER_CHANNEL_FADER[5]
2,6,2,visible,MOTION32_SCREEN_MIXER_CHANNEL_FADER_VISIBLE[5]
2,6,3,value,MOTION32_SCREEN_MIXER_CHANNEL_BUT_MUTE[5]
2,6,3,visible,MOTION32_SCREEN_MIXER_CHANNEL_BUT_MUTE_VISIBLE[5]
2,6,4,value,MOTION32_SCREEN_MIXER_CHANNEL_BUT_SOLO[5]
2,6,4,visible,MOTION32_SCREEN_MIXER_CHANNEL_BUT_SOLO_VISIBLE[5]
2,6,5,color,MOTION32_SCREEN_MIXER_CHANNEL_LABEL_BACKGROUND[5]
2,6,6,text,MOTION32_SCREEN_MIXER_CHANNEL_LABEL[5]
2,6,7,value,MOTION32_SCREEN_MIXER_CHANNEL_METER_LEFT[5]
2,6,7,visible,MOTION32_SCREEN_MIXER_CHANNEL_METER_LEFT_VISIBLE[5]
2,6,7,color,MOTION32_SCREEN_MIXER_CHANNEL_METER_LEFT_BACKGROUND[5]
2,6,8,value,MOTION32_SCREEN_MIXER_CHANNEL_METER_RIGHT[5]
2,6,8,visible,MOTION32_SCREEN_MIXER_CHANNEL_METER_RIGHT_VISIBLE[5]
2,6,8,color,MOTION32_SCREEN_MIXER_CHANNEL_METER_RIGHT_BACKGROUND[5]
2,7,0,color,MOTION32_SCREEN_MIXER_CHANNEL_BACKGROUND[6]
2,7,1,text,MOTION32_SCREEN_MIXER_CHANNEL_CH_NUMBER[6]
2,7,1,visible,MOTION32_SCREEN_MIXER_CHANNEL_CH_NUMBER_VISIBLE[6]
2,7,2,value,MOTION32_SCREEN_MIXER_CHANNEL_FADER[6]
2,7,2,visible,MOTION32_SCREEN_MIXER_CHANNEL_FADER_VISIBLE[6]
